title,company,location,job_type,salary,description
Quality Assurance Technician,Metagenics,Northgate QLD,Full time,,"Maintain label and packaging materials; monitor environmental conditions • Assist in tracking quality metrics, manage documentation and reports • Certificate in related field, 1-2 years' experience, GMP knowledge"
TEST ROLE,Bouygues Construction,Docklands VIC,Full time,,"Design, construct, and deliver nation shaping projects • 25+ years of experience in Australia with global expertise • Focus on civil infrastructure, engineering, energy, and services"
Quality Assurance Manager - Medical Technology Management Unit (MTMU),WA Government,Perth WA,Full time,,"Ensure compliance, safety, and quality standards for biomedical equipment • Lead Continuous Quality Improvement initiatives and mentor team members • Collaborate with clinicians, technicians, engineers, and senior leaders"
Senior Quality Assurance Specialist | Medical Devices,Pettit Pharma & Device Search,Sydney NSW,,,"Ensure compliance with Quality Management System and drive key initiatives • Represent organization with regulators, customers, and industry bodies • Collaborate globally, lead projects, and mentor teams in healthcare industry"
Quality Engineer,Macquarie Group,Sydney NSW,Full time,,Utilize innovative approaches for automation testing and continuous delivery • Develop automation frameworks to enhance product quality • Contribute to creating new testing capability for Core Platforms
Quality Assurance Officer,Graymont,North Sydney NSW,Full time,"$90,000 - $110,000","Manage Quality Management System implementation and maintenance • Lead internal audits, root cause analyses, and corrective actions • Bachelor's degree in Science, continuous improvement knowledge, team leadership"
Quality Assurance Coordinator,Sirius People,Chipping Norton NSW,Permanent,"$85,000 - $100,000","Lead NATA testing and ISO9001 compliance in manufacturing environment • Manage lab documentation, equipment calibration, audits, investigations. • Coordinate with production, sales, and customer service for improvements"
QA Manager,Adree,South Australia,,,"Manage product quality investigations and resolutions according to guidelines • Develop and update procedures for product complaints and risk management • Bachelor’s in IT, 8+ years QA experience, Six Sigma certification"
SOCTN Systems Engineer,Aris Zinc Group Pty Ltd,Canberra ACT,Full time,,"Tertiary qualifications in relevant engineering field with 5-7 years experience • Experience in system testing, validation, and quality assurance required • Excellent communication skills and ability to create technical documentation"
Test Manager - Quality Engineering - Telco,Planit Testing,Sydney NSW,,,Lead manual testing efforts across Telco projects • Define and enforce test processes and quality gates • Experience in Telecommunications sector and test management tools
Test Engineers/Test Managers - Data - Infrastructure - Federal Government,Hitech Asia Pacific,Canberra ACT,Contract,,"Design, build, and test ICT operating systems • Manage testing of non-functional requirements and compliance • 3-5 years experience in Test Engineer or Test Manager role"
Quality Engineer,Inland Rail,Sydney CBD NSW,Full time,,"Ensure compliance and quality of project deliverables • Coordinate with stakeholders for handover activities and defect resolution • Degree in civil engineering, experience in infrastructure projects required"
Performance Tester,eTeam,Sydney NSW,,,"Performance testing for web applications using Jmeter, Functional and NFR test automation, CI/CD, Jenkins, GITHUB"
Quality Assurance Engineer,Covetrus,Brisbane QLD,Full time,,"Translate acceptance criteria into structured testing schedule • Create comprehensive test plans, execute automation scripts, identify bugs • Experience in software QA methodologies, agile/scrum, SaaS applications"
Quality Assurance Coordinator,Ivan's Pies,Braeside VIC,Full time,"$70,000 - $85,000",Ensure compliance with various food safety standards and legislation • Conduct internal audits and oversee lab testing procedures • Bachelor’s degree in related field and 3-5 years experience required
Quality Assurance Specialist,EPG Payroll & HR Australia,Caringbah NSW,Full time,"$76,515 - $110,000","Develop, implement, and manage comprehensive quality assurance system • Provide leadership for regulatory strategies and significant changes • Bachelor's degree or 5 years experience, ISO certifications desirable"
Expression of Interest,HMPS,Sydney NSW,Full time,,"Innovative end-of-line packaging automation solutions for food industry • Employee growth via leadership roundtables and training • Passionate team fostering culture of collaboration, innovation, and quality"
Quality Engineer,Codan,Mawson Lakes SA,,,Ensure product quality compliance with defined standards • Collaborate with internal teams and external suppliers for quality • Lead continuous improvement initiatives and root cause analyses
ICT Support Engineer,Independent Schools Victoria,West Melbourne VIC,Full time,"$90,000 - $90,000","First point of contact for technical assistance and issue resolution • Setup and manage hardware, administer IT systems, and Microsoft 365 • Engage with stakeholders, prioritize work, and proactive problem-solving"
ICT Support Engineer,Transplexes Pty Ltd,South Hedland WA,Full time,"$85,000 - $85,000","Support, maintain, and troubleshoot ICT infrastructure. Install and configure hardware and software. Monitor system performance and..."
ICT Support Engineer,Red Centre Technology Partners,Alice Springs NT,Full time,,"Minimum 2 years experience in desktop support and system engineering • Proficient in Windows Servers, Office 365, Backups, and VoIP • Strong customer service focus, attention to detail, team player"
Ict Test Engineer,Greenoz Solutions,Dandenong VIC,Full time,"$75,000 - $85,000",Provide Level 1 and Level 2 IT support • Conduct system testing and troubleshoot bugs • Bachelor's degree in IT or related field required
ICT Support Engineer,Pace Appointments,Burleigh Heads QLD,Contract,"$75,000 - $90,000","Provide Level 1 & 2 support for desktop and production systems • Resolve IT issues in office and production settings • Require Windows 10 knowledge, ITIL v3 or Microsoft certifications"
ICT Support Technician & Test Engineer,Digi Tech Lab,Hurstville NSW,Full time,"$76,000 - $77,000","Resolve software and hardware issues for clients and staff • Manage IT equipment, software, and network administration tasks • Perform system testing, quality assurance, and cybersecurity management"
ICT Systems Support Engineer,Brecken Health Care,Bunbury WA,Permanent,"$80,000 - $95,000","Provide technical support for hardware and software to staff • Maintain network infrastructure and perform system maintenance tasks • Degree in IT or related field, excellent communication skills required"
ICT Support Engineer,Genesis Recruitment Solutions,Sydney NSW,Contract,"$70,000 - $80,000","Provide Level 1-2 support for desktops, servers, networks • Engage with clients, troubleshoot hardware, software, network issues • 2+ years IT experience, Windows 10 & 11 support, networking"
IT Support Engineer (ICT Managed Services),Tecala Group,Sydney CBD NSW,Full time,,"Provide front line support for Microsoft, VMware, and Citrix • Minimum 1-2 years experience in IT support role required • Flexible shift work between 6am to 10pm on standard days"
ICT Support Technician & Test Engineer,Digi Tech Lab,Hurstville NSW,Full time,"$76,550 - $76,550","Provide technical support, troubleshoot software and hardware issues • Manage software, hardware, system testing, and quality assurance • Ensure compliance, security, and IT operations alignment with requirements"
ICT Support and Test Engineer,Northbridge Recruitment,Tamworth NSW,Full time,"$106,400 - $106,400","Provide tier 2/3 support for hardware, software, and network • Develop, execute, and document test plans for systems and applications • Bachelor’s degree in IT or Computer Science with 1+ year experience"
Technology Support Engineer,Glad Group,Rockdale NSW,Full time,,"Provide first-level IT support for hardware, software, and network • Experience with Microsoft 365, mobile device management, and networking • Strong communication, problem-solving, customer service skills required"
Expression of Interest: ICT Support Technician / Specialist Technician - Multiple positions across Victoria,JB Hi-Fi,Southbank VIC,Full time,,Maintain school network & ICT environments • Provide technical support & troubleshooting for hardware & software • Tech certification & school ICT experience preferred.
Level 1 EUC Support Engineer,BluePeak Recruitment,Melbourne VIC,Full time,,"Provide Level 1 support for end-user devices across multiple sites • Troubleshoot Windows, Office 365, VPN, Wi-Fi, and connectivity issues • 3-5 years experience, ITIL Certification, Australian residency required"
Level 2 Network Support Engineer,GRIT Talent Consulting,Sydney NSW,Contract,"$100,000 - $100,000","Provide Level 2 Network Support across multiple sites • Troubleshoot network, AV, telephony, and nurse call infrastructure • Required: CCNA, network auditing, hardware delivery coordination"
IT Support Engineer,Oui Recruitment,South Melbourne VIC,Full time,"$85,000 - $100,000","Provide onsite and remote support for clients' IT needs • Experience with M365, cloud-based solutions, and Windows Servers • Troubleshoot network issues, support VOIP, and hardware experience"
DC Engineer,Hexaware,Adelaide SA,,,"Provide level 1 and 1.5 IT support to university community • Troubleshoot technical issues on various systems and devices • Collaborate with team, escalate complex issues, adhere to processes"
Onsite Support Engineer - 9 Month FTC,REST Industry Super,Sydney NSW,Full time,,The primary purpose of the Onsite Support Engineer role is to ensure the smooth and efficient operation of all office-based technology by...
Systems Support Engineer x 2,TP Human Capital,Townsville QLD,Contract,$62 - $68,"Manage network infrastructure including routers, switches, VLANs, firewalls • Experience in TCP/IP, BGP, OSPF, VLANs, firewalls, troubleshooting • Hardware rollouts, OS imaging, Microsoft support, scripting, networking"
Level 2 L2 IT Support Helpdesk Technician | Newcastle,Information Management Integration (IMI),Newcastle NSW,Contract,,"Provide onsite & remote IT support in corporate environment • Minimum 12 months experience in IT Support/Help Desk role • Strong technical background in Windows OS, hardware/software support"
3rd Level IT Support Engineer (MSP),Milnsbridge IT Voice & Data,Penrith NSW,Full time,,Provide 3rd level IT support for SMB clients onsite/offsite • Minimum 3 years' experience in fast-paced MSP environment • Microsoft certifications and strong troubleshooting skills required
Service Desk Analyst,Victorian Civil and Administrative Tribunal (VCAT),Melbourne VIC,Contract,"$79,122 - $96,073","Provide first level support for VCAT IT applications and systems • Support audio-visual equipment, video conferencing, and desktop systems • Experience with MS Office, Active Directory, and ITIL Foundation"
Workshop Engineer (IT Hardware),Interactive Pty Ltd,Brisbane QLD,Full time,,"Testing enterprise IT parts and systems in workshop setting • Requires IT certification, customer-facing experience, and willingness to learn • Opportunity to work with top IT vendors and access learning academies"
Technical Support Engineer I,Rapid7,Melbourne VIC,Full time,,"Assist customers with technical issues on Rapid7's InsightIDR product • Collaborate globally, troubleshoot, and expand cybersecurity knowledge • 1-2 years technical support experience, network troubleshooting, cloud computing"
ICT Support Technician,Coffs Harbour Christian Community School,Coffs Harbour NSW,Full time,,"Provide technical support for ICT systems, devices, and services • Contribute to ongoing improvement of ICT operations in education • Employee Working With Children's Check clearance required for employment"
Expression of Interest: ICT Support Technician / Specialist Technician (Regional Opportunities),JB Hi-Fi,Southbank VIC,Full time,,"Maintain school network, ICT environments, and resolve issues • Technical specialist role in Victorian school environment • Required: Cert 4 in IT Systems Admin, Cloudflare experience"
IT Support Engineer,Oui Recruitment,Perth WA,Permanent,"$80,000 - $90,000","Provide level 2 IT support onsite and remotely • Experienced in M365 support, network troubleshooting, disaster recovery • Hardware experience with customer-focused approach and project support"
Operational Support Engineer,Tabcorp,Sydney CBD NSW,Contract,,"Maintain Windows Server environments, ensuring high uptime and reliability • Support Active Directory, DNS, DHCP, and Group Policy configurations • Travel to Data Centre for hardware checks and emergency response"
IT Support Engineer,Charterhouse,Penrith NSW,Permanent,"$70,000 - $100,000","Resolve client IT issues across hardware, software, networks, and systems • Provide onsite and remote desktop/server support with maintenance tasks • 2+ years IT support experience, Microsoft/Azure certifications preferred"
Level 2 Engineer,NT Partners,St Marys NSW,,"$100,000 - $100,000","Minimum 3 years hands-on IT experience required • Proficiency in Office 365, Windows server, Fortigate firewalls • Previous MSP experience and Australian Citizenship mandatory"
IT Support Analyst,Western Sydney University,Goulburn NSW,Full time,"$99,521 - $112,546","Provide IT support to students and staff at NSW Police Academy • Maintain campus IT equipment, systems, and applications • Qualification in relevant field and IT Service Management knowledge"
IT Support Engineer,Dechra Veterinary Products (Australia) Pty Ltd,Somersby NSW,Full time,"$75,000 - $80,000","Provide 1st and 2nd level IT support across multiple countries • Manage IT Helpdesk, Office 365 administration, and IT policies • 2+ years IT systems admin experience, strong communication skills"
IT Support Engineer,Searchability,Sydney CBD NSW,Full time,"$77,000 - $88,000","Provide Level 1-2 ICT troubleshooting and helpdesk support • Assist with device and software set-up for staff and students • Monitor, update, and maintain College systems for reliability"
Service Desk Engineer,Capgemini,Melbourne VIC,Permanent,,Provide walk-up support for hardware and software issues • Minimum 2 years troubleshooting experience in corporate environment required • ITIL v3 MCITP/MCTS or relevant technical qualifications preferred
Level 2 Service Desk Engineer,Bamits Pty Ltd,Moe VIC,Full time,,"Provide Level 2/3 support for clients across Australia • Strong technical troubleshooting skills and customer service focus required • Desirable skills include Microsoft platforms, networking, and server hardware"
IT Technician,King's College,Warrnambool VIC,Full time,,Provide technical support in ICT for College staff and students • Possess qualifications in computer networking and problem-solving skills • Customer service-oriented with commitment to College's mission and vision
IT Support Engineer (Desktop/Network/EUC),EIL Global IT Solutions and Services Pvt Ltd,Gladstone QLD,Part time,,"Resolve desktop/network issues and perform OS upgrades • Install patches, software/hardware fixes, and administer MS Office • Knowledge of networks, CCNA certification preferred, on-call basis"
IT Support Engineer (Level 2) | MSP | Mainly WFH,Robert Half,Melbourne VIC,Permanent,"$85,000 - $95,000","Provide Level 2 IT support for Azure & M365 solutions • Troubleshoot desktop, server, network connectivity issues for end users • Collaborate with team, focus on automation, and process improvements"
Expression of Interest: ICT Support Technician / Specialist Technician (Regional Opportunities),JB Hi-Fi,Southbank VIC,Casual,,Responsible for school network and ICT environment administration • Technical specialist working onsite in Victorian school environment • Tech certifications and school ICT experience required.
IT Support Engineer,Metcash,Port Melbourne VIC,Full time,,"Provide level 1 and 2 IT support for Microsoft systems • Assist with equipment provisioning, setup, and deployment for users • Engage in system-related projects and maintain strong customer relationships"
Network Support Officer,Department of Education WA,South Hedland WA,Part time,,Develop and maintain ICT systems and equipment in school setting • Provide training and support on desktop and software applications • Knowledge of iPad maintenance and use for student learning enhancement
Technical Support Engineer (SCIM - Endpoint),Microsoft,Sydney NSW,Full time,,Troubleshoot and solve customer technical issues collaboratively • Develop technical proficiency through training and readiness programs • Identify and escalate potential product defects for resolution
Ict Test Engineer,Greenoz Solutions,Dandenong VIC,Full time,"$75,000 - $85,000",Provide Level 1 and Level 2 IT support • Conduct system testing and troubleshoot bugs • Bachelor's degree in IT or related field required
Software Test Engineer,Saint Lukes Medical Centre Pty Ltd,Traralgon VIC,Full time,"$85,000 - $95,000","Design and execute test plans for healthcare management applications • Ensure security, compliance, and data integrity in healthcare systems • Minimum 5 years experience in systems testing and Linux servers"
Senior Test analyst,Talent International,Australian Capital Territory,Contract,,"We are seeking a highly skilled Senior Test Analyst to play a pivotal role in ensuring the quality and reliability of ICT solutions,..."
"Test Analyst - Automation, Manual, Organised - Federal Government",Hitech Asia Pacific,Australian Capital Territory,Contract,,Develop acceptance criteria for functional and non-functional requirements • Collaborate with project teams and stakeholders for comprehensive test coverage • 5-10 years' experience in managing testing solutions for complex projects
Test Engineer,Whizdom,Canberra ACT,Contract,$140 - $160,Test Engineer with Positive Vetting security clearance required • Develop and execute testing plans for ICT infrastructure solutions • Manage testing and reporting of network infrastructure components
Test Analyst,Informatech,Canberra ACT,Full time,,"Provide test assurance and execution for Defence projects • Manage requirements, test cases, and defects using Defence standards • Utilize automation tools for efficient validation and CI/CD integration"
ICT Support Technician & Test Engineer,Digi Tech Lab,Hurstville NSW,Full time,"$76,000 - $77,000","Resolve software and hardware issues for clients and staff • Manage IT equipment, software, and network administration tasks • Perform system testing, quality assurance, and cybersecurity management"
Automation Test Analyst (Tricentis TOSCA),Talenza,Canberra ACT,Contract,$80 - $110,"Expertise in Tricentis TOSCA for automated test script development • Collaborate with cross-functional teams for comprehensive test coverage • Experience in Agile/DevOps, CI/CD tools, and IT qualifications"
Test Engineers/Test Managers - Data - Infrastructure - Federal Government,Hitech Asia Pacific,Canberra ACT,Contract,,"Design, build, and test ICT operating systems • Manage testing of non-functional requirements and compliance • 3-5 years experience in Test Engineer or Test Manager role"
ICT Support Technician & Test Engineer,Digi Tech Lab,Hurstville NSW,Full time,"$76,550 - $76,550","Provide technical support, troubleshoot software and hardware issues • Manage software, hardware, system testing, and quality assurance • Ensure compliance, security, and IT operations alignment with requirements"
Technical Test Lead,Recruitment Hive,Canberra ACT,Contract,,"Lead technical testing on Dynamic 365 CRM with DevOps/TFS • 12-month contract in Civic, ACT with flexible work arrangements • Experience in functional, integration, regression testing and DevOps/TFS"
"Test Analysts - Defect, Selenium, Playwright.",Hitech Asia Pacific,Australian Capital Territory,Contract,,"Conduct testing activities across ICT strategic projects • Analyze data, produce reports, and ensure data quality monitoring • Experience with Defect Management, Selenium, and Playwright tools"
Test Analyst,Balance Recruitment,Sydney CBD NSW,Contract,,"Develop and execute test plans, cases, and scenarios • Proficiency in Microsoft Test Manager and Azure DevOps tools • Collaborate with stakeholders in Agile environment for system validation"
Software Test Engineer – Healthcare Systems,Saint Lukes Medical Centre,Traralgon VIC,Full time,"$85,000 - $95,000","Design and execute test plans for healthcare management applications • Ensure security, compliance, and data integrity in healthcare systems • Minimum 5 years experience in systems testing and Linux environments"
Test Analyst,Talent Corp,Canberra ACT,Contract,,"Contribute to high-impact ICT projects supporting disabled Australians • Execute testing lifecycles, produce reports, and engage stakeholders • Experience in Agile, test automation tools, and defect management"
Testing and Evaluation Engineer,Downer,Canberra ACT,,,"Skilled in Verification and Validation (V&V) and Test and Evaluation • Experience in planning, executing, and improving test procedures • Must be Australian citizen with minimum NV2 security clearance"
Test Lead (Automation),Queensland Health,Fortitude Valley QLD,Contract,,"Lead and develop test automation strategy aligned with testing strategy • Implement automation tools, create test plans, and oversee test scripts • Experience in technical testing, automation tools, and stakeholder influence"
Project Test Lead,Informatech,Canberra ACT,Full time,"$120,000 - $150,000",Lead multi-skilled Testing Team for Defence technical initiatives • Develop and manage artefacts for Defence T&E activities • Minimum 5 years experience in application-focused Test and Evaluation
Automation Tester,Gilmore Resources,Brisbane QLD,Contract,,"Design, implement, and maintain automated test suites for frontend/backend • Collaborate with developers, product managers, and stakeholders for testing • 3-6 years experience in software testing, focus on integration/API"
Testing Team,Booka Consulting,Canberra ACT,Contract,,"Experienced change professionals for major transformation program • Roles include OCM Lead, Engagement Specialists, Communications & Reporting • Experience in change management, stakeholder skills, security clearance"
Test Engineer,Kinexus,Canberra ACT,Contract,,"Develop and execute testing processes for ICT infrastructure solutions • Manage testing of network infrastructure and non-functional requirements • Required: Australian Citizenship, TSPV security clearance, and SFIA skills"
ICT Test Analyst,Calytrix Technologies,Canberra ACT,Full time,,"Develop, execute, and report test plans for simulation training solutions • Quality assurance experience in structured test environment required • Minimum NV1 Australian security clearance (NV2 preferred) needed"
Test Analyst,Boeing,Brisbane QLD,Full time,,"Develop and execute test cases for corporate systems • Automate testing using tools like Selenium, Azure DevOps • Collaborate with stakeholders, ensure system compliance and stability"
ICT Support and Test Engineer,Northbridge Recruitment,Tamworth NSW,Full time,"$106,400 - $106,400","Provide tier 2/3 support for hardware, software, and network • Develop, execute, and document test plans for systems and applications • Bachelor’s degree in IT or Computer Science with 1+ year experience"
Senior Test Manager,NSW Trustee and Guardian,Sydney NSW,Full time,"$129,464 - $142,665",Lead testing activities to ensure ICT solutions meet business requirements • Develop and maintain testing scripts across all phases • Maintain ICT quality management policies and processes for compliance
Network Engineer - PV,Canberra Consulting,Canberra ACT,Contract,,"Lead design, build, test, and operation of secure network services • Expertise in multi-vendor network design and operations required • Australian Citizenship and minimum TSPV security clearance mandatory"
Test Lead,CAGUIOA ENTERPRISE PTY LTD,Melbourne VIC,Full time,,"Develop test strategy/plans and conduct various software testing types • Bachelor’s degree with 5+ years experience in ICT systems testing • Proficient in programming, databases, and Agile methodologies."
Multiple TSPV Network Engineers,Compas,Canberra ACT,Contract,,Manage Cisco network infrastructure and Palo Alto firewalls • Troubleshoot and resolve complex network issues with minimal disruption • Require TSPV clearance and 2 years of similar experience
Senior Test Analyst,Data#3,Murdoch WA,Contract,$80 - $85,"Plan, execute, and document functional, non-functional, and user tests • Proficient in API, web/mobile app testing, and test automation tools • Bachelor's in Computer Science, ISTQB certification, and ITIL compliance"
Automated Tester,DFP Recruitment,Brisbane QLD,Contract,,"Lead automation testing activities across frontend and backend components • Collaborate with cross-functional teams to define effective testing strategies • Proficiency in HTML, CSS, Java, JavaScript and automation frameworks"
Senior Infrastructure Engineer (B2C),AAR Consulting Group,Canberra ACT,Contract,$140 - $160,"Manage and improve system infrastructure including on-premises and multi-cloud • Expertise in Azure AD B2C, Application Insights, Azure App Services • Experience with GIT version control, IT frameworks, and cloud certifications"
Senior Automation Tester,Indigitise Pty Ltd,Canberra ACT,,,"Lead automation testing for NMI Web Services Enhancement Project • Design and execute performance, load, and stress tests • Collaborate with stakeholders to enhance testing strategy and practices"
Deputy Chief Engineer,The Network,Deakin ACT,Contract,,"Provide design guidance for complex ICT systems; mentor junior staff • Lead cyber security operations, Test & Evaluation functions; drive improvements • Engineering/IT degree; SAFe® Practitioner certification needed"
Software Testing Lead,Boeing,Brisbane QLD,,,"Lead structured testing for corporate systems in aerospace and defence • Implement Azure DevOps Test Planning and Selenium automation frameworks • Manage junior analysts, ensure compliance, and drive continuous improvement"
Penetration Tester - Federal Government,Hitech Asia Pacific,Canberra ACT,Contract,,Develop detailed Penetration testing plans and test reports • Identify vulnerabilities in ICT systems and provide recommendations • Engage with business areas to scope and write test plans
Senior Software Tester,KBR,Brisbane QLD,Full time,,"Develop, maintain, and implement test methodologies in SDLC • Experience in test execution, system integration, and performance testing • Strong interpersonal skills, NV1 Security Clearance, and ISTQB Certification"
ICT Systems Support Engineer,Brecken Health Care,Bunbury WA,Permanent,"$80,000 - $95,000","Provide technical support for hardware and software to staff • Maintain network infrastructure and perform system maintenance tasks • Degree in IT or related field, excellent communication skills required"
TSPV Opportunities - Critical National Security Programme,Rubix Solutions,Canberra ACT,Contract,,"Deliver secure, scalable ICT solutions in sensitive technology environment • Coordinate technical change, training, and project management activities • Active TSPV clearance, expertise in specific fields, Canberra-based roles"
Test Manager,NSW Police Force,Sydney NSW,Full time,,"Lead ICT testing delivery and acceptance with key stakeholders • Develop and oversee test strategy/plan for go-live sign-off • Maintain relationships with testing team, system integrators, and business"
"Test Lead – Aerospace, Defence & Manufacturing",Boeing,Brisbane QLD,Full time,,Lead structured testing for critical corporate systems in aerospace • Implement test management tools like Azure DevOps Test Planning • Manage and mentor junior test analysts and automation developers
ICT/Network System Engineer,Rohde & Schwarz,Brisbane QLD,,,"Design, configure, and test ICT networks and communication systems • Bachelor's degree in relevant field and 3+ years experience • Eligibility for Australian Citizenship and Security Clearance required"
Network Engineer,Whizdom,Canberra ACT,Contract,$140 - $160,"Requires Positive Vetting security clearance (PV) • Design, build, test, and operate network services in multi-vendor environment • Support delivery of modern mobility solutions for government officials"
"Coalition Support, ACT",Infopeople,Canberra ACT,,,"Experience in ICT change management, cyber security, project coordination • Certifications like CEH, CISM, CompTIA Security+, ITIL required • Strong stakeholder engagement, Defence experience, NV1 security clearance needed"
Senior Server Engineer,Compas,Canberra ACT,Contract,,"Operational support for Windows Server, AD, GPOs, DFS services • Experience with SCCM/MECM, Intune, System Center tools required • Knowledge of government cyber security frameworks and security tools"
AGSVA Cleared ICT Professionals (Canberra) - EOI,KBR,Canberra ACT,Full time,,"Seeking AGSVA-cleared ICT Professionals in various specialties • Must hold and maintain AGSVA Negative Vetting 1 Security Clearance • Canberra opportunity or relocation needed; diverse, inclusive environment"
Ict Test Engineer,Greenoz Solutions,Dandenong VIC,Full time,"$75,000 - $85,000",Provide Level 1 and Level 2 IT support • Conduct system testing and troubleshoot bugs • Bachelor's degree in IT or related field required
Ict Test Engineer,Adactin Group Pty. Ltd.,Parramatta NSW,Full time,"$80,000 - $100,000","Designing test plans, scripts, and procedures for software testing • Experience with JIRA or HP Quality Center and test automation tools • Advanced skills in UI, web, and mobile app testing"
