title,company,location,job_type,salary,description
Technology Support Engineer,Glad Group,Rockdale NSW,Full time,,"Provide first-level IT support for hardware, software, and network • Experience with Microsoft 365, mobile device management, and networking • Strong communication, problem-solving, customer service skills required"
ICT Field Services Support Officer,NSW Public School Jobs - NSW DET Jobs.,Albury NSW,,"$84,659 - $92,701","Provide on-site ICT support to schools and departmental offices • Manage technical documentation, support process improvement. • Flexible work arrangements, competitive salary, and career growth opportunities"
IT Service Technician,Cubic Defense,Sydney NSW,Full time,,"Respond to hardware, software, and network issues • Provide support for PC, mobile devices, and peripherals • Minimum requirements: HS diploma, MCP, ITILv3 Foundation Certification"
ERP Systems Administrator - Launch Your IT & ERP Career,Katz Recruitment,Parramatta NSW,Contract,,"Hands-on support for ERP, CRM, and BI systems • Troubleshoot issues, manage user roles, permissions, and access controls • 1-2 years IT support experience, basic coding, ERP systems"
IT Support Officer,Horizon Bank,Wollongong NSW,Full time,,"Provide technical support and troubleshoot hardware, software, applications • Manage user accounts, install hardware, work on IT projects • Require 12 months IT support experience, knowledge of Microsoft 365"
IT Assistant Intern,Study and Work,Oatley NSW,Internship,,"Relevant degree or recent graduate/skilled migrant • Technical support, system maintenance, and IT strategy contribution • 12-week work experience, structured training, job placement assistance"
Client Services Analyst,Paramount,Pyrmont NSW,Full time,,"Provide incident resolution and service request management for technology • 2 years IT service/help desk experience and relevant qualifications required • Customer service skills, Microsoft Office, media knowledge"
IT Consultant,Huon IT,Ryde NSW,Full time,,"Resolve Level 2 tickets on Microsoft 365, Windows, networking • Provide phone and email support, maintain ticket notes accurately • 4+ years IT support experience, strong troubleshooting skills required"
Print Technician Trainee - Cert IV Information Technology,MEGT,Orange NSW,Permanent,$23 - $23,"Providing service and support to customers for IT and printing • Performing printer repairs, maintenance, setup, and installation • Troubleshooting technical issues and communicating with companies"
Level 2 L2 IT Support Helpdesk Technician | Newcastle,Information Management Integration (IMI),Newcastle NSW,Contract,,"Provide onsite & remote IT support in corporate environment • Minimum 12 months experience in IT Support/Help Desk role • Strong technical background in Windows OS, hardware/software support"
ICT Support Officer Trainee,Wagga IT,Wagga Wagga NSW,Traineeship,,"Provide Level 1 technical support for client incidents • Deploy and configure workstations, mobile devices, software, peripherals • Sound knowledge of Microsoft Windows operating systems required"
IT Client Services Administrator,Fresenius Medical Care,Macquarie Park NSW,Full time,,"Support and maintain in-house computer systems and peripherals • Install, configure, test, troubleshoot end user hardware and software • 3 years' experience with Citrix, Bachelor Degree in Information Systems"
3rd Level IT Support Engineer (MSP),Milnsbridge IT Voice & Data,Penrith NSW,Full time,,Provide 3rd level IT support for SMB clients onsite/offsite • Minimum 3 years' experience in fast-paced MSP environment • Microsoft certifications and strong troubleshooting skills required
IT Support Analyst,Jobs360,Blacktown NSW,Full time,,"Provide first/second level technical support for PC users • Manage hardware/software installations and IT service disruptions • Required: 3-5 years IT Service Desk experience, ITIL knowledge"
IT Officer - Entry Level,Cedars Christian College,Unanderra NSW,Part time,,"First point of contact for IT support requests, prioritizing and documenting • Troubleshooting technical issues, basic data entry, and updates • Maintaining clear communication, creating detailed support records"
IT Support,MFTE Staffing Services,Sydney CBD NSW,Full time,"$80,000 - $90,000",If you are looking for a position that encompassess education and IT please click the apply button today!
Cert IV Information Technology Traineeship,Zeal Futures,Queanbeyan NSW,Traineeship,,"Complete Cert IV IT qualification with formal training and experience • Roles include database development, networking, programming, and web development • Opportunity for on-the-job learning, coaching, mentoring, and exclusive benefits"
IT Support/Networking Technician,Fortis Security,Rydalmere NSW,Full time,,"Support and secure IT and network environments for clients • Manage network administration, troubleshooting, and system deployment • Work with key technologies like Microsoft Stack and Virtualisation"
IT Infrastructure Analyst,Anton Murray Consulting,Sydney NSW,Contract,,"Provide BAU IT support and IT service management • Strong analytical skills and project management experience required • Bachelor's degree in IT, technical experience, and relevant certifications"
Service Desk Officer,TAFE NSW,Dubbo NSW,Casual,,"Provide virtual, on-site, and field support to staff and students • Deliver tiered responses to resolve client requests and technical issues • Effective communication, collaboration, and dedication to improvement"
"IT, Networks, and Automation Service support engineer",Alerton Australia,Wagga Wagga NSW,Full time,"$80,000 - $95,000","Design, configure, and maintain ICT systems and networks • Troubleshoot and resolve ICT and network-related issues promptly • Bachelor’s Degree in IT or related field required"
College Technical Support Officer,McAuley Catholic College,Tumut NSW,Permanent,"$61,012 - $73,169","Provide first and second-level ICT support to staff and students • Manage hardware and software support tasks within the College • Required qualifications: WWVP, WWCC, and Driver's Licence"
IT Support Associate,Altman Solon,Sydney NSW,,,Provide IT support in TMT sector with innovative solutions • Opportunity for rapid career growth and mentorship with senior leaders • Additional benefits include global mobility program and family-friendly support
"IT Engineer - Bank of China, Sydney",Bank of China,Sydney CBD NSW,Full time,,"Install, configure, and maintain application systems on various environments • Develop and maintain batch processing, provide application support • Degree in Computer Science, 2+ years experience in IT projects"
Internship Program - IT Stream (Feb 2026),Prosple,Pymble NSW,Internship,,Assist end users with daily support requests on SG Fleet systems • Learn and support network and system administration in enterprise environment • Final-year undergraduate student with availability at SG Fleet's Sydney HQ
Senior Tech Assist | Desk Support Analyst,Macquarie Group,Sydney NSW,Full time,,Provide walk-up and remote IT support for technology queries • Offer local hardware support for various businesses • Serve as first contact for staff technology assistance at Macquarie
IT Systems and Data Support Specialist,West HQ,Rooty Hill NSW,,,"Maintain IT infrastructure security, WAN/LAN/WLAN, network access controls • Administer Microsoft 365, Azure, AWS, on-premises servers, data platforms • 3-5 years IT systems admin and data analytics experience required"
Service Desk Analyst,Avant Mutual Group,Sydney NSW,Contract,,"Provide service desk and desktop support to Avant users • Experience in Microsoft applications, Active Directory, and ITIL Foundation • Promote security culture in diverse work environment."
"Datacenter IT Technician Trainee (12 months), Data Centre Operations, Sydney",Amazon,Sydney NSW,Full time,,You will work with the world’s largest computing infrastructure. Your work involves some periods' independence from your team. You will...
Audio-Visual / ICT Support Officer,Kambala,Rose Bay NSW,Contract,"$76,000 - $76,000","Provide AV and ICT support for school events and classrooms • Troubleshoot hardware, software, and connectivity issues across multiple devices • Collaborate with ICT team and ensure AV setups meet safety standards"
IT Support Engineer,PRP Diagnostic Imaging,Hornsby NSW,Full time,,"Provide IT support to PRP users and monitor infrastructure • Configure, deploy, and maintain IT equipment; participate in projects • Diploma in IT, Service Desk experience, strong technical skills"
"IT Support Technician- contract, variable hours",System Squared,Sydney CBD NSW,Contract,,The opportunity has come up to join our growing support and services team in this exciting Sydney based role working with our valued...
IT Support Analyst,The Onset,Sydney NSW,Full time,,Provide Level 1 & 2 support to PC and Mac users • Administer Microsoft 365 services and manage IT infrastructure • 2-4 years IT support experience; Windows 11 expertise required
IT Support Specialist,seek.com.au,Sydney CBD NSW,Full time,,We’re looking for a hands-on IT Support Specialist to keep our office running smoothly. From troubleshooting a network hiccup to setting...
Rapid Responder,Jem Computer Systems P/L,Castle Hill NSW,Full time,,"Handle high volume of inbound calls, log, triage tickets • Learn basic troubleshooting, customer service, IT fundamentals • Study for CompTIA A+ certification, work in team environment"
Information Technology Graduate (Feb 2027),Prosple,Port Macquarie NSW,,,"Assist in IT infrastructure maintenance and system troubleshooting • Participate in rotations covering various IT areas and technologies • Bachelor's in IT or related field, Australian/NZ citizenship or residency"
IT Systems Coordinator,ICTechnology Pty Ltd,Chullora NSW,Full time,"$85,000 - $100,000","Review, assess, and implement IT systems aligned with business goals • Collaborate with departments for software training and compliance standards • Manage IT assets, provide support, and ensure business continuity"
Technical Support Officer,MTC FutureReady Limited,Marrickville NSW,Full time,,"Maintain IT systems for optimal performance and security • Provide technical support and training to staff and stakeholders • Required: IT qualification, Microsoft Azure AD experience, networking knowledge"
Desktop Deployment Consultant - Immediate start,Ethan Talent,Sydney CBD NSW,Contract,$50 - $50,"Experienced in desktop deployment and troubleshooting hardware and software • Proficient in Windows OS, O365, Active Directory, and network protocols • Strong communication skills, time management, and adaptability under pressure"
Junior IT Technician Orange,Hi Tech ITworX Pty. Ltd.,Orange NSW,Full time,,"Provide Level 1 helpdesk support and basic troubleshooting assistance • Deliver friendly customer service and maintain technical documentation • Strong interest in IT, good communication skills, and team player"
Desktop Support Analyst,Calvary,Newcastle NSW,Contract,,"Provide 1st and 2nd level desktop support services • Experience in hardware, software support and Windows applications • Relevant qualifications, ability to work in a team environment"
Desktop Support Engineer | 6month contract - ASAP Start,Robert Half,Sydney CBD NSW,Contract,$40 - $40,"3+ years' experience supporting 250-400 users • Strong troubleshooting skills and proactive service-oriented approach • Knowledge of Microsoft tech, ITIL certification, and incident management"
IT Support Engineer (ICT Managed Services),Tecala Group,Sydney CBD NSW,Full time,,"Provide front line support for Microsoft, VMware, and Citrix • Minimum 1-2 years experience in IT support role required • Flexible shift work between 6am to 10pm on standard days"
IT Helpdesk Support,seek.com.au,Sydney CBD NSW,Full time,,First point of contact for IT incidents and requests • Maintain and troubleshoot Microsoft 365 Enterprise E5 environment • Deploy and manage mobile device management strategies using Intune
Desktop Support Engineer (Sydney),Intrinzic,Sydney NSW,Contract,,"Provide desk-side technical support for local and remote sites • Experience with Windows 11, Microsoft 365, and mobile email devices • Minimum 1-3 years IT support experience in professional environment"
Maintenance Contract IT Support,NSW Public School Jobs - NSW DET Jobs.,Parramatta NSW,Full time,"$113,574 - $125,720","Support Maintenance IT contract system for optimal effectiveness • Manage risks, data integrity, and system performance for key platforms • Experience in IT support, database administration, and stakeholder communication"
Graduate Technical Support,Give A Grad A Go,Seven Hills NSW,,"$65,000 - $65,000","Provide installation, maintenance, and repairs to customer equipment • Communicate professionally with clients and provide technical support • Required: Certificate III or Degree in Electronics/Information Technology"
IT Support Analyst,Kaplan Australia,Sydney NSW,Permanent,,"Deliver high-quality customer service and technical support • Escalate incidents, log tickets, and perform troubleshooting analysis • Requirements include formal qualifications, IT skills, and customer service"
IT Support Engineer,Searchability,Sydney CBD NSW,Full time,"$77,000 - $88,000","Provide Level 1-2 ICT troubleshooting and helpdesk support • Assist with device and software set-up for staff and students • Monitor, update, and maintain College systems for reliability"
IT Support Technician,Real Dairy,Greenacre NSW,Full time,,"Provide level 1, 2, and some level 3 IT support • Maintain and troubleshoot various end-user hardware and software • Required: MS 365, Intune, defender; 5+ years IT experience"
IT Security Consultant,Catholic Schools Parramatta Diocese,Parramatta NSW,Contract,,"5+ years IT Security experience with various solutions • Knowledge of IT Security frameworks and relevant certifications required • Provide specialist advice, project support, and security controls"
Associate IT Support Engineer,Okta,Sydney NSW,Full time,,"Provide first-class IT support to Okta employees globally • Resolve IT issues, offer onsite support, and manage tickets • Experience in MacOS, Windows, video conferencing systems preferred"
Senior Technology Risk Advisor - Contract,Robert Half,Sydney NSW,Contract,,Conduct project IT risk assessments and facilitate cyber risk • Review and challenge project IT delivery risks and issues • Support regulatory submissions and preparation of IT risk assessments
All roles - Expressions of Interest,Sonder,Sydney NSW,,,"At Sonder, we’re driven by a shared purpose: redefining care. As the first tech company to achieve healthcare provider status, we’re..."
IT Field Services Team Lead,Balance Recruitment,Sydney CBD NSW,Full time,"$130,000 - $130,000","Lead and mentor team of 8 Field Service Analysts • Oversee day-to-day operations, technical escalations, and performance monitoring • Minimum 8 years IT Field support experience, customer-centric mindset"
Technology Team Member - Bondi Junction,Officeworks,Bondi NSW,Full time,,Deliver exceptional service by understanding customer needs • Provide expert advice on wide range of tech products • Full-time role with rotating roster including evenings and weekends
IT Helpdesk Analyst,Equity Transport Group,Waterloo NSW,Full time,"$70,000 - $80,000","Provide Level 1 & 2 IT support for national & global users • Maintain documentation, contribute to process improvement & IT projects • 1-3 years experience, Windows OS, Microsoft 365, networking knowledge"
Level 2 Tech Support,Astrum Recruitment,Gordon NSW,Full time,"$75,000 - $85,000","Provide Level 2 IT support to diverse client base • Administer Microsoft 365, Windows Server, and virtualisation platforms • Minimum 7 years IT experience, 5 years in Level 2 role"
Senior Consultant - Digital Risk - Risk Consulting,EY,Sydney NSW,,"$98,000 - $110,000",Lead Technology Digital Risk engagements to maximize efficiencies • Collaborate with team to plan and deliver IT Internal Audit • Demonstrate strong project management skills in complex IT systems
Customer Service Specialist,Geeks2U,Sydney NSW,Casual,,"Provide exceptional customer service through phone and scheduling • No technical knowledge or call center experience required for role • Opportunities for personal growth, casual dress code, team functions"
Customer Service Specialist,Geeks2U,Sydney NSW,Casual,,"Provide exceptional customer service through phone and scheduling • No technical knowledge or call center experience required for role • Opportunities for personal growth, casual dress code, team functions"
Project Leader - Technology & Digital Consulting,The Boston Consulting Group,Sydney NSW,Full time,,"Lead digital transformation programs for clients in various sectors • 6-10+ years' experience in strategy, management or technology consultancy • Bachelor's degree in IT/Computer Science, Engineering or related field"
"Cloud engineer / Infrastructure Engineer - AWS, - Federal Government",Hitech Asia Pacific,New South Wales,Contract,,"Design, implement, and manage cloud infrastructure for Federal Government • Collaborate with cross-functional teams to optimize AWS services • Provide technical expertise in planning, design, and improvement of services"
"Data Center Engineering Operations Trainee, AWS Data Center Engineering Operations",Amazon,Sydney NSW,Full time,,"Assist in managing contractors, vendors & facility infrastructure maintenance • Contribute to documentation, installation of racks, and emergency services • Participate in meetings, ensure customer satisfaction, and adhere to protocols"
Customer Service Analyst,people2people,Olympic Park NSW,Permanent,,Analyzing customer service data to drive improvements and insights • Developing reports and dashboards using tools like Tableau • Providing training on data analysis techniques to team members
Product Administrative Assistant,Launch Recruitment - IT Recruiting,Sydney NSW,,,"Maintain and update policy data across multiple databases accurately • Support creation and maintenance of due diligence records • Required: commitment to office, Australian working rights, attention to detail"
ICT Support Officer,Duratec,Parramatta NSW,Full time,,"Provide ICT support and helpdesk services across the business • Experience with Windows 10/11, SOE deployment, and asset management • Opportunity to work with an ASX listed, solutions-driven company"
Digital Strategy Consultants (Technology & Digital Advantage) Melbourne or Sydney Based,The Boston Consulting Group,Sydney NSW,Full time,,"Minimum 4 years consulting experience in technology/digital initiatives • Analytical, problem-solving, and strong communication skills required. • Flexibility to travel within ANZ and Asia Pacific region"
ICT Support Officer,DirectIT,Surry Hills NSW,Full time,"$80,001 - $100,000","Maintain ICT knowledge base, system documentation, and help sheets • Proactively monitor system security, administer backup operations • Provide client support, manage Helpdesk system, and escalate requests"
Service Operations Manager,The Star Entertainment Group,Sydney NSW,Full time,,"Manage team, resolve IT incidents, and enhance operational systems • Minimum 4-year exposure to Service Desk or Call Centre environments • Strong problem-solving skills in a complex IT environment"
Solution Architect,Zone IT Solutions,Sydney NSW,,,Design and implement cutting-edge technology solutions for clients • Bachelor's degree in computer science or related field required • Strong understanding of software development lifecycles and methodologies
Cloud Engineer,Zone IT Solutions,Sydney NSW,,,"Design, implement, and manage cloud infrastructure for clients • Bachelor's degree in Computer Science or related field required • Minimum 7+ years experience as Cloud Engineer or similar role"
"2025 Graduate Program: Customer Service, Sales, Project Management",Macquarie Technology Group,Sydney NSW,Contract,"$5,000","2-year Graduate Program with $5,000 base salary bumps every 6 months • Career acceleration in Project, Sales, or Service Management • Dedicated mentorship, personalised career path, and industry certifications"
Sr. Technical Support Engineer (SCIM Compliance),Microsoft,Sydney NSW,,,Troubleshoot and solve customer technical issues collaboratively • Develop technical proficiency through training and readiness programs • Knowledge of cybersecurity threats and compliance requirements essential
IT Systems Engineer,Hays Recruitment,Sydney NSW,Permanent,,"Support and enhance IT infrastructure for financial services sector • Troubleshoot server infrastructure, implement hybrid cloud environments • Experience with AD, PowerShell scripting, Azure, AWS, M365 required"
IT Level 1/2 Support Engineer,Matrix Solutions,Sydney CBD NSW,Full time,,Bachelor's in IT with 1-3 years support experience • Experience in MSP environment with Microsoft technologies • Opportunity for growth to senior system engineer role
Cyber Defence Engineer,Optus,Macquarie Park NSW,Part time,,"Lead evolution of Detection and Response capability for cyber security • Manage incident response, foster culture of excellence, integrity • Tertiary qualifications and expert knowledge of threat landscape required."
Technology Team Member - Lismore,Officeworks,Lismore NSW,Full time,,"Deliver exceptional service by understanding customer needs • Provide expert advice on a wide range of products • Full-time permanent role with rotating roster including evenings, weekends"
Business Analyst (Technical),eTeam,Sydney NSW,,,"Minimum 5 years experience in banking and financial services • Strong stakeholder management and agile team collaboration skills • ITIL certification, Confluence/Jira proficiency, and IT financial knowledge"
Business Analyst - Sydney/Melbourne,eTeam,New South Wales,,,"10+ yrs BA experience in Banking/FSHIL sector • Skilled in clarifying business requirements and performing gap analysis • Proficient in IT projects, ITIL environments, and required tools"
Senior Consultant - Risk Transformation - Risk Consulting,EY,Sydney NSW,,,Lead Technology Digital Risk engagements for clients • Collaborate with team to enhance IT risk management • Utilize project management skills to ensure successful fieldwork
Service Desk Analyst,Collaborate Recruitment,North Parramatta NSW,Permanent,,"Provide 1st and 2nd level support for IT issues • Handle Active Directory, Windows 10, Office 365, network devices • Engage in user administration, troubleshooting, and project participation"
Desktop Support Specialist,Sydney Fish Market,Pyrmont NSW,Full time,"$90,000 - $100,000","Provide 1st and 2nd level desktop support functions • Design and deploy images and applications using Microsoft Intune • 5+ years experience in IT, strong troubleshooting skills required"
Technology Support,NW Technology,Warnervale NSW,Contract,,"Support warehouse technology operations and IT networks infrastructure • Troubleshoot and maintain ERP systems, firewalls, and operational tech • Proactive IT support with strong troubleshooting skills and communication"
"Associate Manager, Technical Customer Success",Qualtrics,Sydney NSW,,,"Lead team of Technical Account Managers for top tier customer support • Drive operational best practices and expand Experience Management adoption • Recruit, hire, train, retain exceptional talent; cross-functional collaboration"
"Service Desk Assistant – Sydney, Melbourne, Brisbane, Adelaide & Perth",Pryan,Sydney CBD NSW,Casual,$30 - $35,Install and configure monitor screens and arms in office locations • Provide basic workstation set-up support and troubleshooting assistance • Work as part of a national team for technology upgrade project
2026 DXC Technology Graduate Program Australia,DXC Technology,Sydney NSW,Full time,,"Join DXC Graduate Program to shape the future of technology • Multiple career paths: Business Analyst, Sales, Cyber Security • Australian citizenship, degree completion by 2026 required."
ICT Help Desk Technician - Complete Office Supplies,ELMTREE SERVICES PTY LTD,Lidcombe NSW,Full time,"$76,515 - $76,515","Provide first-level ICT support to internal staff and clients • Monitor and manage service tickets for timely issue resolution • Assist with deployment, setup, and maintenance of IT devices"
Anti Fraud Engineer,Sinch,Austral NSW,,,Combat fraud through proactive monitoring and detection techniques • Degree in Computer Science or related field required • Experience in telecommunications and data analysis skills essential
IT Support Engineer,TIMG,Bankstown NSW,Permanent,,"Maintain enterprise IT environments across hardware, network, and security • Troubleshoot IT issues, record-keeping, and proactive monitoring • Experience with Windows, MacOS, Office 365, PowerShell scripting"
Workplace Exp Coordinator,CBRE,Sydney NSW,Full time,,"Client service skills, logical thinking, and organizational abilities required • Strong communication and relationship-building skills required. • Autonomous work, meet deadlines, collaborate with clients, team, and vendors"
Backend Engineer Graduate (Media Network Global Engineering) - 2026 Start (BS/MS),TikTok,Sydney NSW,Full time,,Support backend service development and implement technical solutions • Recent graduates proficient in programming languages required. • Open-source contributions and familiarity with agile methodology preferred.
"2025 Software Development Graduate (AWS, Auckland,NZ), (0-2 Years, Entry-Level)",Amazon Support Services Pty Ltd - D05,Sydney NSW,,,"Recent graduate in Computer Science or related field • Strong coding skills in C/C++ and/or Java on UNIX/Linux • Experience with distributed systems, algorithms, and relational databases"
Senior Project Manager,Clicks IT Recruitment,New South Wales,Casual,,"Lead academic workload planning projects in higher education sector • Manage project plans, budgets, stakeholder engagement, and compliance • Require experience in university project management and relevant qualifications"
Sales Support Coordinator,Datacom,North Sydney NSW,,,"Manage hardware requests, liaise with suppliers for timely delivery • Support sales team from proposal to close, maintain customer database • Minimum 2 years ICT sector experience, strong communication skills"
Technical Support Team Intern (Start ASAP),Prosple,Sydney NSW,Internship,,"Assist in technical documentation drafting and product testing • Support hotline team with technical support and emails • IT degree, Mandarin fluency, tech interest required"
Desktop Support Technician,Peoplebank,Wyong NSW,Contract,,"Main point of contact for end user IT support • Installation, setup, and troubleshooting of desktop hardware and software • Requires IT qualification or up to one year experience"
John Holland Graduate Program 2026 - Safety,John Holland,Sydney NSW,,,"Structured learning journey with rotations across projects and regions • Competitive remuneration with salary sacrifice packaging and insurance options • Inclusive workplace with focus on learning, development, and wellbeing"
"Solutions Consultant (Accounting Experience) Sydney, AUS",FloQast -,Sydney NSW,Full time,,"Utilize accounting expertise to empower sales team • Lead training sessions, demos, and enhance sales team knowledge • Act as liaison between sales, clients, and product/support teams"
Sales Support,Momentum Consulting,Homebush NSW,Casual,$33 - $33,"Manage purchase orders, customer delivery requirements, and pricing validation • Handle customer claims, generate reports, and provide administrative support • Develop customer relationships, provide training, and resolve delivery issues"
Asset Specialist,Australia Post,Strathfield NSW,,,"Specialized support for processing network automation equipment • Collaborate with internal stakeholders, manage projects, provide expert advice • Diploma in electrical/electronic engineering, IT systems or equivalent required"
"Expression of Interest - Feature Animation, Layout, Sydney",Netflix Game Studio,Sydney NSW,Full time,,Join Netflix Animation Studios Layout Department in Sydney • Submit information/portfolio for future role consideration • Equal-opportunity employer promoting diversity and inclusion
Customer Technology Advisor (Data & AI),Kyndryl,Sydney NSW,Full time,,"Minimum 5 years experience in Data and AI Consulting • Expertise in cloud Data and AI platforms like Azure, AWS • Strong communication, problem-solving skills; willingness to travel"
Business Analyst,XPT Software,Sydney NSW,Contract,,"Capture and manage business and user requirements effectively • Lead stakeholder relationships and drive adoption of processes • Minimum 3 years experience in process design, ServiceNow expertise"
Early Careers Recruitment Consultant,Launch Recruitment - IT Recruiting,Sydney NSW,Internship,,"Design and deliver graduate and internship programs aligned to business • Manage high-volume recruitment cycles and ensure quality candidate experience • 3-5 years' experience in early careers recruitment, tech or consulting"
System Engineer/Admin,Ethan Talent,Sydney CBD NSW,Contract,,"The Systems engineer will be a combination of BAU and project work for an existing client The role is responsible for the,..."
Territory Manager | Capital Equipment Medtech,Be responsible for developing lasting customer relationships across NSW & ACT selling capital equipment to achieve revenue and gross profit targets.,Sydney NSW,Full time,,"Lead sales and technical support for dental technology products • Train dealers and end users, provide IT support services • Requires dental technician or IT software background, national travel"
Application Support Engineer (RDBMS),Real Time Australia,Sydney CBD NSW,Full time,"$100,000 - $100,000","Provide technical support in Korean language for platform users • 2-4 years experience in technical support, RDBMS proficiency required • Collaborate with internal teams to resolve complex technical cases"
Desktop support engineer,XPT Software,Sydney NSW,Contract,,Provide desktop support to clients in various industries • Work experience of 4-8 years in IT support required • Part of a team serving clients in Australia and globally
Client Services Analyst,Paramount,Sydney NSW,Full time,,"Provide incident resolution and service request management for technology • 2 years IT service/help desk experience and relevant qualifications required • Strong customer service, analytical skills, and knowledge of media applications"
Junior Application Support Engineer,Ashdown Consulting,Sydney CBD NSW,Permanent,"$80,000 - $80,000","Provide Level 1-2 support for core business systems • Troubleshoot and resolve issues, assist with .NET code fixes • Ideal for candidates with 1-2 years' experience in application support"
IT Support,Jamberoo Valley Farm,Jamberoo NSW,Full time,,"Manage website, booking systems, social media, and inventory • Provide IT support, troubleshoot, and maintain internet infrastructure • Experience in IT support, web management, and systems integration"
Support Team Leader,The Access Group,Sydney NSW,Permanent,,"Lead customer-focused support team for exceptional service delivery • Mentor and coach team, prioritize workflow, and resolve issues • Improve service quality, streamline processes, enhance customer experience"
IT System Technician,Lifebyte Systems Pty Ltd,Sydney NSW,Part time,,"Configure Microsoft 365 services, Jira platforms, and access control • Implement security policies, user provisioning, and system lifecycle management • Experience in Microsoft 365, Jira, SSO, scripting, and compliance"
Senior consultant,Infosys,Sydney NSW,,"$101,232 - $102,031","Implement performance tuning solutions for cloud and in-house applications • Lead performance test plans for Big Data, Payments, and multi-cloud • Mentor team on performance testing methodologies and best practices"
Expression of Interest,Fair Consulting Group,Sydney NSW,Permanent,,"Passionate technologists crafting digital experiences for iconic brands • Seeking team members with SAP BTP, integration, data analytics skills • Training, certifications, bonuses, community work, social activities provided."
Resourcer/Recruitment Consultant,Launch Recruitment - IT Recruiting,Sydney NSW,Contract,,"Support high-volume recruitment campaign in Sydney • Manage candidate screening, interviews, and onboarding process • Require recruitment experience, strong communication, and tech-savviness"
Functional BA – Consumer Finance,Kirra Services,Sydney NSW,,,"Over 10 years experience in IT consulting and big data projects • Proficient in SQL, data mapping, and Agile environments • Strong stakeholder management, communication skills, and business acumen"
Business Development Manager,IntoWork Australia,Mascot NSW,Permanent,"$80,000 - $110,000","Develop and maintain client relationships for sales growth • Experience in IT hardware sales and CRM software essential • Highly organized, punctual, and detail-oriented individual required"
IT Asset Analyst,St Vincent's Health Australia,Sydney CBD NSW,Full time,,"Manage IT asset lifecycle, software licenses, and procurement processes • Ensure accurate inventory, cost tracking, and compliance with standards • Collaborate with vendors, end users, and support process improvement"
Senior Contact Center Specialist,Launch Recruitment - IT Recruiting,Sydney NSW,,,"Minimum 5 years contact centre experience in ICT industry • Proficiency in ITIL processes and troubleshooting Contact Centre solutions • Experience with NICE CXOne, SBCs, SIP routing, AWS technologies"
IT Engineer,Cover Genius,Sydney NSW,Full time,,"Manage corporate laptops and core business SaaS applications • Automate IT tasks, troubleshoot technical issues, and assist in audits • Require 2+ years experience, Bachelor's degree, and IT certifications"
Customer Service Data Analyst,people2people,Olympic Park NSW,Permanent,,"Analyse and report on customer service data, track statistics • Bachelor's degree in Data Analysis/Mathematics/Statistics preferred • 2+ years experience in similar role, manage communication effectively"
Digital Care Advisor- felix (FT)Hybrid,TPG Telecom,Barangaroo NSW,Full time,,"Provide customer support via digital channels like live chat, email • Maintain professional and friendly communication with customers • Flexible hybrid work, free mobile and NBN plans, additional leave"
